student_id,age,study_hours,sleep_hours,social_media_hours,exercise_hours,coffee_cups,exam_score,date
1,20,2.5,6,3.0,1.0,2,65,2024-01-01
2,22,5.0,7,2.0,0.5,3,78,2024-01-02
3,19,1.0,5,4.5,0.0,1,50,2024-01-03
4,21,4.0,8,1.5,1.5,2,82,2024-01-04
5,23,6.0,7,1.0,0.5,4,88,2024-01-05
6,20,3.0,6,2.5,1.0,2,70,2024-01-06
7,22,7.0,7,1.0,0.5,5,91,2024-01-07
8,19,2.0,5,4.0,0.0,1,55,2024-01-08
9,21,5.5,6,2.0,1.0,3,80,2024-01-09
10,20,4.5,7,2.5,1.0,2,77,2024-01-10
11,22,6.5,8,1.5,1.0,4,90,2024-01-11
12,21,3.5,6,3.0,0.5,2,72,2024-01-12
13,20,2.0,5,4.0,0.0,1,58,2024-01-13
14,23,7.5,7,1.0,1.0,5,95,2024-01-14
15,19,1.5,6,5.0,0.0,1,52,2024-01-15
16,21,4.0,7,2.5,1.0,2,76,2024-01-16
17,22,5.5,8,1.5,1.5,3,85,2024-01-17
18,20,3.0,6,3.5,0.5,2,68,2024-01-18
19,21,6.0,7,1.0,1.0,4,89,2024-01-19
20,23,4.5,7,2.0,1.0,3,82,2024-01-20
21,20,2.5,5,4.5,0.0,1,60,2024-01-21
22,22,7.0,8,1.0,1.5,5,93,2024-01-22
23,19,1.0,5,5.0,0.0,1,48,2024-01-23
24,21,5.0,7,2.0,1.0,3,79,2024-01-24
25,20,3.5,6,3.0,0.5,2,71,2024-01-25
26,22,6.0,8,1.5,1.0,4,87,2024-01-26
27,21,4.0,7,2.5,1.0,2,75,2024-01-27
28,23,7.0,7,1.0,1.0,5,92,2024-01-28
29,19,2.0,5,4.0,0.0,1,57,2024-01-29
30,20,5.5,7,2.0,1.0,3,83,2024-01-30
31,21,3.0,6,3.5,0.5,2,69,2024-01-31
32,22,6.5,8,1.5,1.5,4,90,2024-02-01
33,20,2.5,6,4.0,0.0,1,62,2024-02-02
34,23,7.5,7,1.0,1.0,5,96,2024-02-03
35,19,1.5,5,5.0,0.0,1,51,2024-02-04
36,21,4.5,7,2.5,1.0,2,77,2024-02-05
37,22,5.0,8,1.5,1.0,3,84,2024-02-06
38,20,3.0,6,3.0,0.5,2,70,2024-02-07
39,21,6.0,7,1.0,1.0,4,88,2024-02-08
40,23,4.0,7,2.0,1.0,3,81,2024-02-09
41,20,2.0,5,4.5,0.0,1,59,2024-02-10
42,22,7.0,8,1.0,1.5,5,94,2024-02-11
43,19,1.0,5,5.0,0.0,1,47,2024-02-12
44,21,5.5,7,2.0,1.0,3,82,2024-02-13
45,20,3.5,6,3.0,0.5,2,72,2024-02-14
46,22,6.0,8,1.5,1.0,4,89,2024-02-15
47,21,4.0,7,2.5,1.0,2,76,2024-02-16
48,23,7.0,7,1.0,1.0,5,93,2024-02-17
49,19,2.5,5,4.0,0.0,1,56,2024-02-18
50,20,5.0,7,2.0,1.0,3,80,2024-02-19
