id,titulo,severidad,categoria,estado,archivos
CL-ARBOL-01,Correlacion antiguedad-satisfaccion descrita incorrectamente (copy-paste en 3 notebooks),media,"copy-paste,contradiccion-numerica",corregido,clasificacion/01-arbol-decision/notebook.ipynb
CL-RF-01,Correlacion antiguedad-satisfaccion descrita incorrectamente (copy-paste en 3 notebooks),media,"copy-paste,contradiccion-numerica",corregido,clasificacion/02-random-forest/notebook.ipynb
CL-XGB-01,Correlacion antiguedad-satisfaccion descrita incorrectamente (copy-paste en 3 notebooks),media,"copy-paste,contradiccion-numerica",corregido,clasificacion/03-xgboost/notebook.ipynb
CL-ARBOL-02,Celdas de codigo sin ejecutar (preexistente),baja,reproducibilidad,documentado_no_corregido,clasificacion/01-arbol-decision/notebook.ipynb
CL-RF-02,Celdas de codigo sin ejecutar (preexistente),baja,reproducibilidad,documentado_no_corregido,clasificacion/02-random-forest/notebook.ipynb
CL-XGB-02,Celdas de codigo sin ejecutar (preexistente),baja,reproducibilidad,documentado_no_corregido,clasificacion/03-xgboost/notebook.ipynb
CL-XGB-03,Parametro use_label_encoder deprecado en xgboost (warning),baja,codigo-deprecado,documentado_no_corregido,clasificacion/03-xgboost/notebook.ipynb
CL-CMP-GYM-01,Veredicto final contradice la tabla de metricas (XGBoost gana pero se recomienda el arbol sin justificar),media,contradiccion-numerica,corregido,clasificacion/04-comparativa-modelos/01-satisfaccion-gimnasio/comparativa_modelos_clasificacion.ipynb
CL-CMP-GYM-02,"Imports sin usar (GridSearchCV, permutation_importance, classification_report)",baja,codigo-muerto,corregido,clasificacion/04-comparativa-modelos/01-satisfaccion-gimnasio/comparativa_modelos_clasificacion.ipynb
CL-CMP-CHURN-01,Cifras de XGBoost hardcodeadas incorrectas en tabla resumen y veredicto (no coinciden con el output real ni son aritmeticamente consistentes),alta,contradiccion-numerica,corregido,clasificacion/04-comparativa-modelos/02-churn-clientes/comparativa_modelos_churn.ipynb
CL-CMP-CHURN-02,"Imports sin usar (GridSearchCV, permutation_importance, classification_report)",baja,codigo-muerto,corregido,clasificacion/04-comparativa-modelos/02-churn-clientes/comparativa_modelos_churn.ipynb
CL-LOGIT-GYM-01,AUC citado en texto no coincide con AUC real calculado,baja,contradiccion-numerica,corregido,clasificacion/05-regresion-logistica/01-satisfaccion-gimnasio/notebook.ipynb
CL-LOGIT-GYM-02,Afirmacion sobre p-valor logicamente invertida respecto al resultado real,media,contradiccion-numerica,corregido,clasificacion/05-regresion-logistica/01-satisfaccion-gimnasio/notebook.ipynb
CL-LOGIT-ADM-01,README y notebook prometen frontera de decision y LogisticRegression de sklearn que nunca se implementan,alta,"documentacion,contrato-incorrecto,codigo-muerto",corregido_parcial,clasificacion/05-regresion-logistica/02-admision-universidad/README.md; clasificacion/05-regresion-logistica/02-admision-universidad/notebook.ipynb
CL-SVM-BAT-01,Introduccion describe un problema de regresion (SVR) que el notebook no implementa (implementa SVC de clasificacion),alta,copy-paste,corregido,clasificacion/06-svm/02-reemplazo-baterias/notebook.ipynb
REG-SIMPLE-CASAS-01,Ecuacion del modelo final omite el coeficiente de una de las 2 variables del modelo bivariante,alta,logica,corregido,regresion/01-regresion-lineal-simple/01-precio-viviendas/notebook.ipynb
REG-SIMPLE-CASAS-02,README afirma diagnostico formal Shapiro-Wilk que nunca se ejecuta (solo diagnostico visual),media,documentacion,corregido,regresion/01-regresion-lineal-simple/01-precio-viviendas/README.md
REG-SIMPLE-CASAS-03,Import muerto het_breuschpagan,baja,codigo-muerto,corregido,regresion/01-regresion-lineal-simple/01-precio-viviendas/notebook.ipynb
REG-SIMPLE-COLEST-01,Ejes/titulo de grafico Real vs Predicho rotulados como Precio (copy-paste del notebook de viviendas),media,copy-paste,corregido,regresion/01-regresion-lineal-simple/02-colesterol-bmi/notebook.ipynb
REG-SIMPLE-COLEST-02,Etiqueta VIF incorrecta (todas variables cuando el modelo solo tiene una),baja,copy-paste,corregido,regresion/01-regresion-lineal-simple/02-colesterol-bmi/notebook.ipynb
REG-SIMPLE-COLEST-03,Import muerto het_breuschpagan,baja,codigo-muerto,corregido,regresion/01-regresion-lineal-simple/02-colesterol-bmi/notebook.ipynb
REG-MULT-ADS-01,Import muerto het_breuschpagan,baja,codigo-muerto,corregido,regresion/02-regresion-lineal-multiple/01-ventas-publicidad/notebook.ipynb
REG-MULT-GYM-01,VIF severo y variable no significativa (p=0.940) mantenida sin comentario; texto/README la describian como driver pese a contradecir las estadisticas propias,alta,"contradiccion-numerica,calidad-modelo",corregido,regresion/02-regresion-lineal-multiple/02-gasto-extra-gimnasio/notebook.ipynb; regresion/02-regresion-lineal-multiple/02-gasto-extra-gimnasio/README.md
REG-MULT-AVION-01,"Error aritmetico: diseno factorial dice 216 combinaciones, el calculo correcto (144) ya esta en la celda anterior",media,logica,corregido,regresion/02-regresion-lineal-multiple/03-preferencias-vuelos-conjoint/avion.ipynb
REG-MULT-AVION-02,Texto dice 5 componentes cuando la tabla lista 6 atributos (falta descripcion de Horario),baja,logica,corregido,regresion/02-regresion-lineal-multiple/03-preferencias-vuelos-conjoint/avion.ipynb
REG-MULT-AVION-03,Etiqueta de categoria inconsistente (1 stop vs 1 Stop real en los datos),baja,copy-paste,corregido,regresion/02-regresion-lineal-multiple/03-preferencias-vuelos-conjoint/avion.ipynb
REG-MULT-AVION-04,README cita R2 por segmento que el notebook nunca imprime,media,documentacion,corregido,regresion/02-regresion-lineal-multiple/03-preferencias-vuelos-conjoint/avion.ipynb
REG-RIDGELASSO-01,Titulo/objetivo prometen Regresion Lineal simple que nunca se entrena,media,documentacion,corregido,regresion/03-ridge-lasso/01-comparativa-regularizacion/notebook.ipynb
REG-RIDGELASSO-02,Interpretacion de metricas de Ridge con cifras obsoletas (no coinciden con el output real),alta,contradiccion-numerica,corregido,regresion/03-ridge-lasso/01-comparativa-regularizacion/notebook.ipynb
REG-RIDGELASSO-03,README con la misma tabla de metricas obsoletas,media,documentacion,corregido,regresion/03-ridge-lasso/01-comparativa-regularizacion/README.md
REG-RIDGELASSO-04,Prediccion final usa el modelo Lasso con alpha de paso en vez del alpha optimo citado en conclusiones,baja,logica,corregido,regresion/03-ridge-lasso/01-comparativa-regularizacion/notebook.ipynb
REG-RIDGELASSO-05,Variable mape_ridge almacena en realidad el MAPE de Lasso (bug de naming),baja,copy-paste,corregido,regresion/03-ridge-lasso/01-comparativa-regularizacion/notebook.ipynb
REG-RIDGELASSO-06,Alphas de Ridge/Lasso hardcodeados en vez de referenciar el valor elegido por CV,baja,robustez,corregido,regresion/03-ridge-lasso/01-comparativa-regularizacion/notebook.ipynb
REG-GB-VIVIENDAS-01,README afirma comparacion directa contra baseline de regresion lineal que el notebook nunca entrena,alta,documentacion,corregido,regresion/04-gradient-boosting/01-tasacion-viviendas/README.md
REG-GB-VIVIENDAS-02,Contexto de negocio del README no coincide con el del notebook,media,documentacion,corregido,regresion/04-gradient-boosting/01-tasacion-viviendas/README.md
REG-GB-VIVIENDAS-03,Texto de interpretacion con MAE/R2/MAPE obsoletos frente al output real,alta,contradiccion-numerica,corregido,regresion/04-gradient-boosting/01-tasacion-viviendas/notebook.ipynb
REG-GB-VIVIENDAS-04,Overfitting no documentado: train R2~99.4% vs test R2=92.5% (gap ~4x),alta,calidad-modelo,corregido,regresion/04-gradient-boosting/01-tasacion-viviendas/notebook.ipynb
REG-GB-VIVIENDAS-05,Curva de aprendizaje no incluye el n_estimators=300 elegido por el modelo final (rango graficado hasta 200),baja,consistencia-grafico,corregido,regresion/04-gradient-boosting/01-tasacion-viviendas/notebook.ipynb
REG-GB-5K-01,"Overfitting no documentado, severo: train R2~99.7% vs test R2=0.7966 (gap >5x), sin CV de hiperparametros",alta,calidad-modelo,corregido,regresion/04-gradient-boosting/02-tiempo-carrera-5k/notebook.ipynb; regresion/04-gradient-boosting/02-tiempo-carrera-5k/README.md
